1,Greg Norman ,1165477,"2,081,209",188,136,156,173
2,Wayne Levi ,1024647,"1,829,727",62,148,148,68
3,Payne Stewart ,976281,"1,743,359",163,99,112,191
4,Paul Azinger ,944731,"1,687,020",147,145,169,180
5,Jodie Mudd ,911746,"1,628,118",149,18,72,152
6,Hale Irwin ,838249,"1,496,873",28,188,170,128
7,Mark Calcavecchia ,834281,"1,489,788",180,45,156,154
8,Tim Simpson ,809772,"1,446,021",126,167,186,130
9,Fred Couples ,757999,"1,353,570",179,101,164,88
10,Mark O'Meara ,707175,"1,262,813",109,113,160,167
11,Gil Morgan ,702629,"1,254,695",147,142,179,76
12,Billy Mayfair ,693658,"1,238,675",139,137,162,178
13,Lanny Wadkins ,673433,"1,202,559",46,151,89,141
14,Larry Mize ,668198,"1,193,211",28,190,167,188
15,Tom Kite ,658202,"1,175,361",75,180,189,57
16,Ian Baker-Finch ,611492,"1,091,950",83,169,142,187
17,Chip Beck ,571816,"1,021,100",67,159,45,149
18,Steve Elkington ,548564,"979,579",174,119,150,147
19,Peter Jacobsen ,547279,"977,284",103,165,180,69
20,Davis Love III ,537172,"959,236",184,69,93,165
