1,Matt Kuchar ,4910477,5280082.796,95,161,166,192
2,Jim Furyk ,4809622,5171636.559,21,190,107,174
3,Ernie Els ,4558861,4902001.075,110,53,125,190
4,Dustin Johnson ,4473122,4809808.602,197,28,130,120
5,Steve Stricker ,4190235,4505629.032,66,170,140,178
6,Phil Mickelson ,3821733,4109390.323,187,12,45,67
7,Luke Donald ,3665234,3941111.828,4,40,70,72
8,Paul Casey ,3613194,3885154.839,165,66,152,197
9,Justin Rose ,3603331,3874549.462,103,128,81,147
10,Hunter Mahan ,3574550,3843602.151,143,162,151,113
11,Tim Clark ,3530002,3795701.075,12,196,98,153
12,Jeff Overton ,3456356,3716511.828,182,23,104,175
13,Bo Van Pelt ,3336258,3587374.194,147,130,163,118
14,Retief Goosen ,3218089,3460310.753,140,124,67,193
15,Bubba Watson ,3198998,3439782.796,198,24,145,177
16,Camilo Villegas ,3035523,3264003.226,123,74,73,35
17,Ryan Palmer ,2985296,3209995.699,174,36,55,177
18,Robert Allenby ,2974997,3198921.505,36,159,170,2
19,Zach Johnson ,2916993,3136551.613,44,192,89,190
20,Bill Haas ,2905136,3123802.151,158,112,179,86
