1,Bubba Watson ,4533007,4533007,199,64,190,146
2,Jimmy Walker ,4225071,4225071,184,1,172,197
3,Dustin Johnson ,3346150,3346150,198,78,195,178
4,Matt Kuchar ,3121107,3121107,48,169,167,165
5,Patrick Reed ,3038426,3038426,138,37,128,162
6,Jordan Spieth ,2731423,2731423,135,95,124,193
7,Harris English ,2569772,2569772,171,77,198,73
8,Chris Kirk ,2181286,2181286,108,136,177,158
9,Matt Every ,2102826,2102826,69,90,153,169
10,Zach Johnson ,2100337,2100337,43,195,170,151
11,Webb Simpson ,2089776,2089776,114,141,161,192
12,Ryan Moore ,2086504,2086504,72,180,194,136
13,Jason Day ,2010360,2010360,149,74,170,37
14,Kevin Stadler ,1931352,1931352,152,142,180,58
15,Will MacKenzie,1782250,1782250,123,128,163,188
16,Graham DeLaet ,1716734,1716734,186,98,197,87
17,John Senden ,1686464,1686464,114,154,171,179
18,Kevin Na ,1606652,1606652,21,109,111,177
19,Matt Jones ,1605598,1605598,166,116,122,153
20,Brian Stuard ,1518585,1518585,87,152,107,135
