1,Tiger Woods ,10628024,"12,804,848",200,11,196,197
2,Vijay Singh ,8017336,"9,659,441",186,54,198,147
3,Phil Mickelson ,5699605,"6,866,994",176,41,155,153
4,Jim Furyk ,4255369,"5,126,951",32,170,195,184
5,David Toms ,3962013,"4,773,510",0,200,93,141
6,Kenny Perry ,3607155,"4,345,970",68,102,49,31
7,Chris DiMarco ,3562548,"4,292,227",38,77,77,145
8,Retief Goosen ,3494106,"4,209,766",158,45,164,155
9,Bart Bryant ,3249136,"3,914,622",55,196,185,161
10,Sergio Garcia ,3213375,"3,871,536",192,49,201,41
11,Fred Funk ,2830046,"3,409,694",5,200,134,121
12,Justin Leonard ,2665131,"3,211,001",74,128,108,94
13,Davis Love III ,2658779,"3,203,348",194,36,151,125
14,Padraig Harrington ,2615731,"3,151,483",148,13,48,163
15,Adam Scott ,2592255,"3,123,199",179,26,162,101
16,Scott Verplank ,2580213,"3,108,690",43,193,141,86
17,Luke Donald ,2480562,"2,988,629",67,127,180,172
18,Sean O'Hair ,2461482,"2,965,641",179,75,161,124
19,Ben Crane ,2457329,"2,960,637",141,19,41,201
20,Chad Campbell ,2391432,"2,881,243",150,78,182,134
