1,Greg Norman ,1654959,"2,546,091",167,145,100,187
2,Billy Mayfair ,1543192,"2,374,142",103,154,93,73
3,Lee Janzen ,1378966,"2,121,486",131,107,83,162
4,Corey Pavin ,1340079,"2,061,660",29,148,88,177
5,Steve Elkington ,1254352,"1,929,772",150,108,161,183
6,Davis Love III ,1111999,"1,710,768",186,86,106,173
7,Peter Jacobsen ,1075057,"1,653,934",164,152,176,164
8,"Jim Gallagher, Jr. ",1057241,"1,626,525",176,30,119,149
9,Vijay Singh ,1018713,"1,567,251",184,39,82,162
10,Mark O'Meara ,914129,"1,406,352",140,68,180,142
11,David Duval ,881436,"1,356,055",172,102,128,144
12,Payne Stewart ,866219,"1,332,645",122,44,18,176
13,Mark Calcavecchia ,843552,"1,297,772",163,73,121,153
14,Ernie Els ,842590,"1,296,292",172,77,55,179
15,Tom Lehman ,830231,"1,277,278",106,134,179,149
16,Jay Haas ,822259,"1,265,014",93,127,115,172
17,Scott Simpson ,795798,"1,224,305",66,144,181,140
18,Scott Hoch ,792643,"1,219,451",116,61,92,166
19,Nick Faldo ,790961,"1,216,863",55,178,153,182
20,Bob Tway ,787348,"1,211,305",126,100,132,138
