1,Tiger Woods ,9188321,"12,586,741",193,141,194,193
2,Phil Mickelson ,4746457,"6,501,996",192,68,152,192
3,Ernie Els ,3469405,"4,752,610",157,144,112,171
4,Hal Sutton ,3061444,"4,193,759",128,165,180,111
5,Vijay Singh ,2573835,"3,525,801",165,83,189,96
6,Mike Weir ,2547829,"3,490,177",83,111,156,187
7,David Duval ,2462846,"3,373,762",177,155,186,165
8,Jesper Parnevik ,2413345,"3,305,952",102,129,101,186
9,Davis Love III ,2337765,"3,202,418",192,59,167,171
10,Stewart Cink ,2169727,"2,972,229",150,31,168,152
11,Kirk Triplett ,2099943,"2,876,634",105,160,179,168
12,Tom Lehman ,2068499,"2,833,560",92,143,185,56
13,Steve Flesch ,2025781,"2,775,042",163,101,187,175
14,Justin Leonard ,2023465,"2,771,870",90,150,143,150
15,David Toms ,2002068,"2,742,559",127,139,184,142
16,Robert Allenby ,1968685,"2,696,829",185,130,126,98
17,Jim Furyk ,1940519,"2,658,245",59,181,150,150
18,Loren Roberts ,1932280,"2,646,959",3,191,107,178
19,Chris DiMarco ,1842221,"2,523,590",147,89,172,158
20,Notah Begay III ,1819323,"2,492,223",102,119,91,21
