1,Tom Watson ,530808,"1,516,594",151,117,166,172
2,Lee Trevino ,385814,"1,102,326",108,163,169,148
3,Curtis Strange ,271888,"776,823",77,156,170,75
4,Andy Bean ,269033,"768,666",146,132,147,153
5,Ben Crenshaw ,237727,"679,220",107,95,128,163
6,Jerry Pate ,222976,"637,074",145,113,67,174
7,George Burns ,219928,"628,366",138,85,53,172
8,Craig Stadler ,206291,"589,403",152,61,69,156
9,Mike Reid ,206097,"588,849",4,174,173,84
10,Raymond Floyd ,192993,"551,409",97,97,48,167
11,Larry Nelson ,182715,"522,043",71,169,160,100
12,Billy Kratzert ,175771,"502,203",141,99,164,58
13,Jack Nicklaus ,172386,"492,531",165,162,174,17
14,Howard Twitty ,166190,"474,829",47,146,135,100
15,John Mahaffey ,165827,"473,791",29,171,171,26
16,Bruce Lietzke ,163884,"468,240",153,134,159,69
17,Doug Tewell ,161684,"461,954",88,151,112,45
18,Don Pooley ,157973,"451,351",16,126,80,159
19,Bob Gilder ,152597,"435,991",83,141,91,56
20,Tom Kite ,152490,"435,686",53,152,131,146
